bls_occupation,bls_year,total_employed_thousands,percent_women,women_share,percent_white,percent_black,percent_asian,percent_hispanic_or_latino,source_url
"Total, 16 years and over",2022,158291.0,46.8,0.46799999999999997,77.0,12.6,6.7,18.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Management,  professional, and related occupations",2022,68099.0,51.5,0.515,77.7,10.2,9.0,10.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Management, business, and financial operations occupations",2022,29350.0,44.8,0.44799999999999995,80.4,9.4,7.3,11.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Management occupations,2022,20199.0,40.5,0.405,81.6,9.0,6.6,11.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Chief executives,2022,1780.0,29.2,0.292,85.9,5.9,6.7,6.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
General and operations managers,2022,1165.0,35.4,0.354,82.4,9.1,5.3,11.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Advertising and promotions managers,2022,68.0,49.7,0.49700000000000005,80.3,13.8,4.4,8.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Marketing managers,2022,656.0,58.9,0.589,83.9,6.8,7.5,11.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Sales managers,2022,566.0,34.2,0.342,88.3,5.9,3.5,11.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Public relations and fundraising managers,2022,131.0,64.3,0.643,87.4,8.9,2.9,7.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Administrative services managers,2022,69.0,78.2,0.782,82.1,9.4,4.8,17.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Facilities managers,2022,129.0,19.3,0.193,92.0,6.1,1.1,17.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Computer and information systems managers,2022,764.0,26.4,0.264,72.6,7.8,16.5,7.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Financial managers,2022,1380.0,55.7,0.557,78.5,9.6,9.3,10.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Human resources managers,2022,295.0,72.9,0.7290000000000001,81.5,12.0,4.0,11.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Training and development managers,2022,63.0,48.7,0.48700000000000004,86.4,6.2,6.6,4.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Industrial production managers,2022,281.0,22.5,0.225,84.0,6.7,6.7,12.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Purchasing managers,2022,234.0,45.5,0.455,78.2,11.5,7.5,8.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
